stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
collrhod_ob,55024,College Ave & Rhode Island Ave (Outbound),,38.98079,-76.93201
rhodknox_ob,55025,Rhode Island Ave & Knox Rd (Outbound),,38.97969,-76.93232
cpmcalv,55020,College Park Metro - UMD at Calvert Rd,,38.97862,-76.92889
rhodknox_ib,55028,Rhode Island Ave & Knox Rd (Inbound),,38.97964,-76.9322
collrhod_ib,34873,College Ave & Rhode Island Ave (Inbound),,38.98071,-76.9318
collhopk_ib,55029,College Ave & Hopkins Ave (Inbound),,38.98111,-76.9332
collprin_ib,55030,College Ave & Princeton Ave (Inbound),,38.98146,-76.93469
mont_in,30473,Montgomery Hall (Inbound),,38.9825,-76.93913
memo_in,30027,Memorial Chapel (Inbound),,38.98454,-76.94007
mitc_in,30494,Mitchell Building (Inbound),,38.98637,-76.94012
campmath,36112,Campus Dr at Math Slip,,38.98786,-76.93861
painglen,30500,Glenn L. Martin Wind Tunnel,,38.98995,-76.93725
regdrgar_a,,Regents Drive Garage - Arrival,,38.98983,-76.94077
ewhwbeal,37038,East-West Hwy and W Beale Cir,,38.96412,-76.9379
ewhwtayl_out,37037,East-West Hwy and Taylor Rd (Outbound),,38.96232,-76.92946
rivstber_n,37035,Riverdale Rd at St. Bernard's Church,,38.95995,-76.91565
rivd63rd,48083,Riverdale Rd and 63rd Ave,,38.96097,-76.9101
riveeast,37085,Riverdale Rd and Eastpine Dr,,38.96105,-76.90679
rive67th,37082,Riverdale Rd and 67th Ave,,38.96133,-76.90285
riveaubu,37084,Riverdale Rd and Auburn Ave,,38.96428,-76.89711
rivemart,37089,Riverdale Rd and Martins Ln,,38.96343,-76.88936
rivefinn,37086,Riverdale Rd and Finns Ln,,38.96209,-76.88675
rivelamo,37087,Riverdale Rd and Lamont Dr,,38.96137,-76.88266
founclap,37051,Riverdale Rd at Fountain Club Apartments,,38.96003,-76.87958
rivemaho,37088,Riverdale Rd and Mahoney Dr,,38.95959,-76.87766
herisqap,37058,Riverdale Rd at Heritage Square Apartments,,38.95852,-76.87522
annarive,37010,Annapolis Rd and Riverdale Rd,,38.95548,-76.87359
harkanna,48081,Harkins Rd and Annapolis Rd,,38.95235,-76.87764
ncarmetr,37071,New Carrollton Metro Station,,38.95052,-76.87278
lenocrap,37064,85th Ave at Lenox Court Apartments,,38.95389,-76.86878
carrmnap,37031,85th Ave at Carrollton Manor Apartments,,38.95602,-76.86828
long85th,37007,85th Ave and Longfellow St,,38.9596,-76.8698
lega85th,37006,85th Ave and Legation St,,38.96079,-76.86988
westmadi,37099,Westbrook Dr and Madison St,,38.96234,-76.87023
westogle,37100,Westbrook Dr and Oglethorpe St,,38.96425,-76.87156
westpowh,37101,Westbrook Dr and Powhatan St,,38.96554,-76.87301
westlamo,37098,Westbrook Dr and Lamont Dr,,38.9658,-76.88028
lamolarc,37061,Lamont Dr and Larchwood St,,38.96788,-76.87987
lamocarr,37059,Lamont Dr and Carrollton Pkwy,,38.96937,-76.88011
lamoquen,37062,Lamont Dr and Quentin St,,38.97185,-76.88079
lamodono,37060,Lamont Dr and Donoghue Dr,,38.97466,-76.88217
lamoelem,37063,Good Luck Rd at Lamont Elementary School,,38.97497,-76.88388
gdlknash,37053,Good Luck Rd and Nashville Rd,,38.97469,-76.8864
gdlkian,37052,Good Luck Rd and Ian St,,38.97253,-76.89127
aubuches,37013,Auburn Ave and Chestnut Ave,,38.97149,-76.8938
aubu3rd,37012,Auburn Ave and 3rd St,,38.96913,-76.89481
aubu1st,37011,Auburn Ave and 1st St,,38.96631,-76.89604
auburive,50018,Auburn Ave and Riverdale Rd,,38.96503,-76.89663
wildshop,37102,Riverdale Rd at Wildercroft Shopping Center,,38.96441,-76.89787
rive67ct,37083,Riverdale Rd and 67th Ct,,38.96181,-76.90231
rive64th,37081,Riverdale Rd and 64th Ave,,38.96123,-76.90741
rive62nd_in,37079,Riverdale Rd and 62nd Place,,38.96076,-76.91202
rive58th,37090,Riverdale Rd at St Jude Lutheran Church,,38.96014,-76.91567
ewhwtayl_in,37036,East-West Hwy and Taylor Rd (Inbound),,38.96249,-76.92902
hartshop,37019,Baltimore Avenue and Hartwick Road (Inbound),,38.97944,-76.93783
hoff,34507,Hoff Theater,,38.98807,-76.94539
uniofiel,27774,Union Ln and Fieldhouse Dr,,38.98869,-76.94531
biofield,50016,BioSciences Research Building,,38.98926,-76.94211
regestad,55021,Regents Dr and Stadium Dr,,38.99038,-76.94065
regefarm_out,30425,Regents Dr and Farm Dr (Outbound),,38.99126,-76.94066
regecomc_out,30321,Regents Drive at XFINITY Center (Outbound),,38.99347,-76.93993
regepain_out,30309,Regents Dr and Paint Branch Dr (Outbound),,38.99363,-76.93748
shutbase_out,37150,Shuttle-UM Base (Outbound),,38.99535,-76.9375
lot4_out,36290,Paint Branch Dr at Lot 4b (Outbound),,38.9979,-76.94042
cour300,27047,Courtyards #300,,39.00131,-76.94193
cour400,27742,Courtyards #400,,39.00187,-76.94271
cour500,27735,Courtyards #500,,39.00308,-76.94257
gree,27676,Greenmeade Dr at Maryland 4-H (Inbound),,39.00268,-76.94333
greemetz,27624,Greenmeade Dr and Metzerott Rd,,39.00107,-76.94469
lot4i_r,27522,Paint Branch Dr at Lot 4b (Inbound),,38.99783,-76.94049
shutbase_in,37151,Shuttle-UM Base (Inbound),,38.99536,-76.93759
regepain,30949,Regents Dr and Paint Branch Dr (Inbound),,38.99367,-76.93773
