stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
28647,BT298,COLUMBIA PK & LINCOLNIA,,38.83654,-77.157051,,
28648,BT3,LANDOVER STA,,38.933544,-76.890663,,
28649,BT30,RANDOLPH & VEIRS MILL,,39.056141,-77.082565,,
28650,BT301,ANNANDALE (PATRIOT & AMER),,38.825714,-77.219254,,
28651,BT302,CULMORE (GL CA & VISTA),,38.852589,-77.14119,,
28652,BT303,PENTAGON CITY (S HAYES & 12TH),,38.863068,-77.059387,,
28653,BT304,HERITAGE DR & KILLEBREW DR,,38.819023,-77.213928,,
28654,BT308,JOHN MARR & COLUMBIA PK,,38.832691,-77.189392,,
28655,BT309,JEFFERSON ST & ROUTE 7,,38.847382,-77.118233,,
28656,BT31,GLENMONT STA,,39.062084,-77.052856,,
28657,BT310,S GREENBRIAR ST & 8TH ROAD,,38.856571,-77.11895,,
28658,BT311,PARK SPRING (DINWIDDIE & 9TH),,38.856323,-77.112549,,
28659,BT32,COLESVILLE,,39.075741,-77.00193,,
28660,BT324,LOCKWOOD & NEW HAMPSHIRE,,39.039516,-76.990936,,
28661,BT325,STEWART LA & OLD COL PK,,39.046112,-76.986275,,
28662,BT326,BROADBIRCH-PLUM ORCHARD,,39.055573,-76.957298,,
28663,BT327,BRIGGS CHANEY PARK-RIDE,,39.077282,-76.942482,,
28664,BT328,CASTLE BLVD (14000),,39.085567,-76.940475,,
28665,BT329,OLD COLUMBIA & GREENCASTLE,,39.098289,-76.944359,,
28666,BT33,NEW HAMPSHIRE & LOCKWOOD,,39.039757,-76.990646,,
28667,BT331,OLD COLUMBIA PK & E RAND,,39.062141,-76.966629,,
28668,BT332,GREENCASTLE PARK & RIDE,,39.091045,-76.930771,,
28669,BT334,OLD COL PIKE & RUXTON RD,,39.064777,-76.964836,,
28670,BT336,CRYSTAL DRIVE & ENT. WATERPARK,,38.85944,-77.049194,,
28671,BT337,P G HOSPITAL,,38.930866,-76.919746,,
28672,BT338,RT 450 & 71ST AVE,,38.946293,-76.894409,,
28673,BT339,RT 450 & WHITE CHAPEL RD,,38.963669,-76.857452,,
28674,BT34,ADELPHI & 19TH AVE (NH AVE),,39.010609,-76.976936,,
28675,BT340,WHITFLD CHPL & FAIRVIEW,,38.942497,-76.853867,,
28676,BT342,WASHINGTON BUSINESS PARK,,38.951351,-76.833664,,
28677,BT343,WHITFLD CHPL & VOLTA,,38.942219,-76.853714,,
28678,BT345,#2545 ELVANS RD SE,,38.854557,-76.990936,,
28679,BT347,STANTON & ALAB(GARFIELD),,38.846909,-76.980293,,
28680,BT348,POTOMAC AVE STA,,38.8806,-76.985374,,
28681,BT35,CAMPUS DR & PRESIDENTIAL LA,,38.985046,-76.952995,,
28682,BT350,15TH & BENNING,,38.899647,-76.983597,,
28683,BT351,BLADENSBURG RD & 26TH NE,,38.921482,-76.969078,,
28684,BT352,MT RAINIER (R.I. AVE & 34TH),,38.936657,-76.960236,,
