route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,scheduled_trip_id,train_id
GREEN,60,3987325_18934,"BRANCH AVE",1,,100,3987325,504
GREEN,60,3987332_18934,"BRANCH AVE",1,,100,3987332,505
GREEN,60,3987328_18934,"BRANCH AVE",1,,100,3987328,506
GREEN,60,3987329_18934,"BRANCH AVE",1,,100,3987329,507
GREEN,60,3987335_18934,"BRANCH AVE",1,,100,3987335,508
GREEN,60,3987276_18934,"BRANCH AVE",1,,100,3987276,509
GREEN,60,3987327_18934,"BRANCH AVE",1,,100,3987327,510
GREEN,60,3987324_18934,"BRANCH AVE",1,,100,3987324,501
GREEN,60,3987336_18934,"BRANCH AVE",1,,100,3987336,502
GREEN,60,3987271_18934,"BRANCH AVE",1,,100,3987271,503
GREEN,60,3987279_18934,"BRANCH AVE",1,,100,3987279,504
GREEN,60,3987188_18934,"BRANCH AVE",1,,100,3987188,505
GREEN,60,3987189_18934,"BRANCH AVE",1,,100,3987189,506
GREEN,60,3987214_18934,"BRANCH AVE",1,,100,3987214,507
GREEN,60,3987213_18934,"BRANCH AVE",1,,100,3987213,508
GREEN,60,3987629_18934,"BRANCH AVE",1,,100,3987629,509
GREEN,60,3987635_18934,"BRANCH AVE",1,,100,3987635,510
GREEN,60,3988187_18934,"BRANCH AVE",1,,100,3988187,501
GREEN,60,3988184_18934,"BRANCH AVE",1,,100,3988184,502
GREEN,60,3988198_18934,"BRANCH AVE",1,,100,3988198,503
GREEN,60,3988197_18934,"BRANCH AVE",1,,100,3988197,504
GREEN,60,3988195_18934,"BRANCH AVE",1,,100,3988195,505
GREEN,60,3988192_18934,"BRANCH AVE",1,,100,3988192,506
GREEN,60,3987618_18934,"BRANCH AVE",1,,100,3987618,507
GREEN,60,3987608_18934,"BRANCH AVE",1,,100,3987608,508
GREEN,60,3987607_18934,"BRANCH AVE",1,,100,3987607,509
GREEN,60,3987616_18934,"BRANCH AVE",1,,100,3987616,510
GREEN,60,3987610_18934,"BRANCH AVE",1,,100,3987610,501
GREEN,60,3987615_18934,"BRANCH AVE",1,,100,3987615,502
GREEN,60,3987609_18934,"BRANCH AVE",1,,100,3987609,503
GREEN,60,3987987_18934,"BRANCH AVE",1,,100,3987987,1512
GREEN,60,3987617_18934,"BRANCH AVE",1,,100,3987617,504
GREEN,60,3987620_18934,"BRANCH AVE",1,,100,3987620,505
GREEN,60,3987612_18934,"BRANCH AVE",1,,100,3987612,506
GREEN,60,3987621_18934,"BRANCH AVE",1,,100,3987621,507
GREEN,60,3987619_18934,"BRANCH AVE",1,,100,3987619,508
GREEN,60,3987986_18934,"BRANCH AVE",1,,100,3987986,509
GREEN,60,3987601_18934,"BRANCH AVE",1,,100,3987601,1511
GREEN,60,3987595_18934,"BRANCH AVE",1,,100,3987595,510
GREEN,60,3987624_18934,"BRANCH AVE",1,,100,3987624,501
GREEN,60,3987625_18934,"BRANCH AVE",1,,100,3987625,502
GREEN,60,3987626_18934,"BRANCH AVE",1,,100,3987626,503
GREEN,60,3987989_18934,"BRANCH AVE",1,,100,3987989,1512
GREEN,60,3987622_18934,"BRANCH AVE",1,,100,3987622,504
GREEN,60,3987604_18934,"BRANCH AVE",1,,100,3987604,505
