route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11679,1,2789872,93 HUNT VALLEY,,1,3714,124696,1,1
11679,1,2789873,93 HUNT VALLEY,,1,3705,124696,1,1
11679,1,2789874,93 HUNT VALLEY,,1,3706,124696,1,1
11679,1,2789875,93 HUNT VALLEY,,1,3707,124696,1,1
11679,1,2789876,93 HUNT VALLEY,,1,3705,124696,1,1
11679,1,2789877,93 HUNT VALLEY,,1,3708,124696,1,1
11679,1,2789878,93 HUNT VALLEY,,1,3707,124696,1,1
11679,1,2789879,93 HUNT VALLEY,,1,3709,124696,1,1
11679,1,2789880,93 HUNT VALLEY,,1,3708,124696,1,1
11679,1,2789881,93 HUNT VALLEY,,1,3707,124696,1,1
11679,1,2789882,93 HUNT VALLEY,,1,3715,124696,1,1
11679,1,2789883,93 HUNT VALLEY,,1,3714,124696,1,1
11680,1,2789976,94 FORT McHENRY,,0,1603,124698,1,1
11680,1,2789977,94 FORT McHENRY,,0,1606,124698,1,1
11680,1,2789978,94 FORT McHENRY,,0,4825,124698,1,1
11680,1,2789979,94 FORT McHENRY,,0,1601,124698,1,1
11680,1,2789980,94 FORT McHENRY,,0,4825,124698,1,1
11680,1,2789981,94 FORT McHENRY,,0,1603,124698,1,1
11680,1,2789982,94 FORT McHENRY,,0,1604,124698,1,1
11680,1,2789983,94 FORT McHENRY,,0,4828,124698,1,1
11680,1,2789984,94 FORT McHENRY,,0,1603,124698,1,1
11680,1,2789985,94 FORT McHENRY,,0,1604,124698,1,1
11680,1,2789986,94 FORT McHENRY,,0,4826,124698,1,1
11680,1,2789987,94 FORT McHENRY,,0,1601,124698,1,1
11680,1,2789988,94 FORT McHENRY,,0,1602,124698,1,1
11680,1,2789989,94 FORT McHENRY,,0,4826,124698,1,1
11680,1,2789990,94 FORT McHENRY,,0,1601,124698,1,1
11680,1,2789991,94 FORT McHENRY,,0,1602,124698,1,1
11680,1,2789992,94 FORT McHENRY,,0,1606,124698,1,1
